"feat","mz","is_known","is_on_tissue","metabolite_name","metabolite_adduct","metabolite_score","rho_out","rho_in","label"
5,122.0024,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 122.0024 (unknown)"
6,122.9862,TRUE,TRUE,"Butenoic acid","[M+K-2H]-",66,-1,0.4,"Butenoic acid (122.9862)"
11,127.0773,TRUE,FALSE,"Hydroxyheptanoic acid","[M-H2O-H]-",65.1,-1,0.3,"Hydroxyheptanoic acid (127.0773)"
12,128.0362,TRUE,FALSE,"Pyroglutamic acid","[M-H]-",64.8,-1,0.7,"Pyroglutamic acid (128.0362)"
13,131.0835,TRUE,FALSE,"Ornithine","[M-H]-",64.7,-1,-0.4,"Ornithine (131.0835)"
14,132.0317,TRUE,TRUE,"Aspartate","[M-H]-",45.9,-1,0.7,"Aspartate (132.0317)"
15,133.0157,TRUE,FALSE,"Malate","[M-H]-",45.1,-1,0.4,"Malate (133.0157)"
19,137.0018,TRUE,TRUE,"Pentenoic acid","[M+K-2H]-",73.9,-1,0.4,"Pentenoic acid (137.0018)"
21,139.0524,TRUE,FALSE,"Imidazolepropionate","[M-H]-",60.7,-1,0,"Imidazolepropionate (139.0524)"
22,140.0125,TRUE,TRUE,"Phosphoethanolamine","[M-H]-",75.4,-1,0.4,"Phosphoethanolamine (140.0125)"
24,143.0483,TRUE,FALSE,"Serylglycine","[M-H2O-H]-",27.9,-1,-0.1,"Serylglycine (143.0483)"
26,146.0469,TRUE,FALSE,"Glutamic acid","[M-H]-",64.6,-1,0.7,"Glutamic acid (146.0469)"
28,150.9811,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 150.9811 (unknown)"
29,151.0256,TRUE,FALSE,"Xanthine","[M-H]-",81.5,-1,0.1,"Xanthine (151.0256)"
30,152.9964,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 152.9964 (unknown)"
31,153.0198,TRUE,FALSE,"Dihydroxybenzoic acid","[M-H]-",84.6,-1,1,"Dihydroxybenzoic acid (153.0198)"
34,155.0832,TRUE,FALSE,"Acetylornithine","[M-H2O-H]-",81.9,-1,-0.1,"Acetylornithine (155.0832)"
37,163.0175,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 163.0175 (unknown)"
38,165.0322,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 165.0322 (unknown)"
41,167.1084,TRUE,FALSE,"Oxodecanoic acid","[M-H2O-H]-",82.1,-1,0.4,"Oxodecanoic acid (167.1084)"
42,168.0073,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 168.0073 (unknown)"
43,168.0433,TRUE,TRUE,"Leucine","[M+K-2H]-",97.7,-1,0.3,"Leucine (168.0433)"
46,171.0798,TRUE,FALSE,"Glycylproline","[M-H]-",34.5,-1,-0.9,"Glycylproline (171.0798)"
47,171.1031,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 171.1031 (unknown)"
52,179.012,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 179.0120 (unknown)"
56,180.0439,TRUE,TRUE,"Indoleacetaldehyde","[M+Na-2H]-",76.3,-1,0.4,"Indoleacetaldehyde (180.0439)"
57,180.9913,FALSE,TRUE,NA,NA,NA,-1,0.7,"m/z 180.9913 (unknown)"
63,196.0387,TRUE,TRUE,"Indoleacetic acid","[M+Na-2H]-",82.1,-1,0.3,"Indoleacetic acid (196.0387)"
66,199.003,TRUE,FALSE,"Erythrose phosphate","[M-H]-",56.4,-1,0.4,"Erythrose phosphate (199.0030)"
67,202.086,TRUE,FALSE,"Indolebutyrate","[M-H]-",65.8,-1,-0.1,"Indolebutyrate (202.0860)"
68,203.0274,FALSE,TRUE,NA,NA,NA,-1,0.2,"m/z 203.0274 (unknown)"
69,205.0436,FALSE,TRUE,NA,NA,NA,-1,0.2,"m/z 205.0436 (unknown)"
70,208.0392,FALSE,TRUE,NA,NA,NA,-1,0,"m/z 208.0392 (unknown)"
71,208.075,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 208.0750 (unknown)"
77,221.0673,FALSE,TRUE,NA,NA,NA,-1,0.1,"m/z 221.0673 (unknown)"
78,224.0698,TRUE,TRUE,"Indolebutyric acid","[M+Na-2H]-",89,-1,0.3,"Indolebutyric acid (224.0698)"
79,226.0864,TRUE,FALSE,"Deoxycytidine","[M-H]-",32,-1,-0.5,"Deoxycytidine (226.0864)"
81,227.0327,TRUE,FALSE,"Hydroxyoctanedioic acid","[M+K-2H]-",98.4,-1,0.1,"Hydroxyoctanedioic acid (227.0327)"
86,236.0301,FALSE,TRUE,NA,NA,NA,-1,0,"m/z 236.0301 (unknown)"
88,241.0121,TRUE,TRUE,"Hexose phosphate","[M-H2O-H]-",95.6,-1,0.3,"Hexose phosphate (241.0121)"
89,242.0162,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 242.0162 (unknown)"
90,242.0439,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 242.0439 (unknown)"
93,251.2018,FALSE,TRUE,NA,NA,NA,-1,0.4,"m/z 251.2018 (unknown)"
94,253.2174,TRUE,TRUE,"palmitoleic acid (C16:1)","[M-H]-",98.5,-1,0.3,"palmitoleic acid (C16:1) (253.2174)"
95,254.2208,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 254.2208 (unknown)"
96,255.1138,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 255.1138 (unknown)"
97,255.2327,TRUE,TRUE,"palmitic acid (C16:0)","[M-H]-",94.6,-1,0.3,"palmitic acid (C16:0) (255.2327)"
99,256.2365,FALSE,TRUE,NA,NA,NA,-1,0.3,"m/z 256.2365 (unknown)"
101,259.0215,TRUE,TRUE,"hexose phosphate","[M-H]-",81.5,-1,0.3,"hexose phosphate (259.0215)"
