"sid","group","instance","apical_class","n_px","cit","dha","cit_rel","dha_rel","cit_mtic","dha_mtic","cit_dha"
"AO_20h_sl4A_sec2b","20h",8,"mixed",170,0.000161536714003416,22.3104013527785,1.37785639333342,0.302013301478068,8.08630938950253e-06,1.28577995970455,-17.0754948442313
"AO_20h_sl4A_sec3a","20h",1,"mixed",476,0.000147915698709425,17.0403113039423,0.908386884577407,0.169202253680783,9.43401859784069e-06,1.19847042572906,-16.8138169885227
"AO_20h_sl4A_sec3a","20h",4,"apical_out",399,0.000114178545678807,12.976580756905,0.534903298318077,-0.223839145432183,7.36278203797226e-06,0.899087602687261,-16.7942591756691
"AO_20h_sl4A_sec3a","20h",5,"apical_out",59,7.67169166979108e-05,15.9786100436616,-0.0387716494760234,0.0763924775011369,5.08995612754681e-06,1.19298085052136,-17.6681657463965
"AO_20h_sl4A_sec3a","20h",6,"apical_out",106,0.000243663791384868,19.9327291443483,1.62850358819424,0.395389816000897,1.45388287727961e-05,1.31784253433602,-16.319887847226
"AO_20h_sl4A_sec3a","20h",7,"mixed",153,5.36636155990245e-05,10.6514488975926,-0.554372128359267,-0.508699747220633,3.86972167146847e-06,0.896215082075197,-17.598674000558
"AO_20h_sl4A_sec3a","20h",8,"apical_out",119,8.08962755096476e-05,15.8100596602742,0.0377568938857938,0.0610933735554776,4.97345609772697e-06,1.15303834508471,-17.576338099089
"AO_20h_sl4A_sec3b","20h",1,"mixed",183,0.000205589680817522,18.5864972802037,-0.0337174830214197,0,1.19162982416886e-05,1.22456562019894,-16.4641275340842
"AO_20h_sl4A_sec3b","20h",2,"apical_out",515,0.000198172266534883,18.4385325617949,-0.086730259147575,-0.0115310698093642,1.15920840408907e-05,1.18143324826385,-16.505609240401
"AO_20h_sl4A_sec3b","20h",3,"apical_out",54,0.000210451141656563,22.5464794759457,0,0.278647268525581,1.24635330744298e-05,1.38234145073432,-16.7090573195883
"AO_20h_sl4A_sec3b","20h",4,"mixed",70,0.000114175028816473,13.1888777494208,-0.882238182204484,-0.494933102756857,8.40480909569793e-06,1.02395958769525,-16.8177151305104
"AO_20h_sl4A_sec3b","20h",5,"apical_out",36,0.000367940514247504,19.7747483950283,0.805987205412683,0.0894044259479386,1.9457920466455e-05,1.15294189965781,-15.713827271598
"AO_20h_sl4A_sec3b","20h",6,"apical_out",89,0.000349445699866051,23.2945545504209,0.731582957556907,0.325737830141205,1.91056689819224e-05,1.37687848226739,-16.024564923647
"AO_20h_sl4A_sec4a","20h",1,"basolateral_out",208,6.2037448490571e-06,7.20793539549441,-0.711741154047115,-0.423987237613348,1.05022233531378e-06,0.95676955006437,-20.1480152980425
"AO_20h_sl4A_sec4a","20h",2,"mixed",353,1.41169876938481e-05,12.1328344728295,0.474479865978717,0.327271409151044,1.31419438562651e-06,1.08388761816319,-19.713052924781
"AO_20h_sl4A_sec4b","20h",1,"basolateral_out",340,8.09354201231993e-06,4.77549713261211,0,0,2.00113404807155e-06,0.766308035355653,-19.1704482820446
"AO_20h_sl4A_sec5b","20h",2,"mixed",270,2.11655865999632e-05,14.8903666260136,-0.901709583960428,-0.071191513022469,1.67433242308051e-06,1.17704139136213,-19.4242273720613
"AO_20h_sl4A_sec5b","20h",3,"mixed",273,4.22990218620633e-05,13.4244130761545,0.0971942451542128,-0.22071177492382,3.11878706146902e-06,1.0812275545337,-18.2758032810453
"AO_20h_sl4A_sec5b","20h",4,"apical_out",48,6.91686137819705e-06,17.3017856464276,-2.51524060860479,0.145350151219721,3.67613659109792e-07,1.21234747514549,-21.2543000609478
"AO_20h_sl4A_sec5b","20h",5,"apical_out",61,3.69642532431791e-05,17.5418226935534,-0.0972992890605447,0.165227870688109,2.24767324067872e-06,1.19838892729985,-18.856236460872
"AO_20h_sl4A_sec5b","20h",7,"mixed",60,6.7065059955402e-05,16.3967951274008,0.762131279182379,0.0678430682103831,3.77959200947333e-06,1.07426693731218,-17.8994210901513
