"sid","instance","key","apical_class","zone","zone_um","surf","abs","mtic","citdha","dha_sn","dha_abs"
"AO_0h_sl6A_sec2a",8,"AO_0h_sl6A_sec2a 8","apical_out",1,10,0.324268233040946,3.55522345109616e-05,7.88832279595223e-06,1.80542832933251e-06,0.194146309169425,3.0779296467388
"AO_0h_sl6A_sec2a",8,"AO_0h_sl6A_sec2a 8","apical_out",2,20,0.15821056303196,1.734594531902e-05,4.65823048287659e-06,8.80868994840696e-07,0.15366082191736,2.43608648212293
"AO_0h_sl6A_sec2a",8,"AO_0h_sl6A_sec2a 8","apical_out",3,50,0.202616361435575,2.22145238525592e-05,7.93934697589817e-06,1.12810717069492e-06,0.0970977694847335,1.53935505963426
"AO_0h_sl6A_sec2a",8,"AO_0h_sl6A_sec2a 8","apical_out",4,80,0.181153195684758,1.98613377418977e-05,8.11264469520127e-06,1.00860669690416e-06,0.0818005371821402,1.29683793418062
"AO_0h_sl6A_sec2a",8,"AO_0h_sl6A_sec2a 8","apical_out",5,160,0.153114676009724,1.67872406665263e-05,7.6945314603386e-06,8.52496623280449e-07,0.0859457116511467,1.36255412236695
"AO_0h_sl6A_sec2a",8,"AO_0h_sl6A_sec2a 8","apical_out",6,250,0.108927897008141,1.19426750591702e-05,6.34816685979282e-06,6.06477881810514e-07,0.0526353044082179,0.83446223930941
"AO_0h_sl6A_sec2a",8,"AO_0h_sl6A_sec2a 8","apical_out",7,500,0.0272165445799419,2.98397708098021e-06,1.70468765446879e-06,1.51533562663116e-07,0.0324816829309961,0.514953569279736
"AO_0h_sl6A_sec3a",1,"AO_0h_sl6A_sec3a 1","basolateral_out",1,10,0.88108546277011,1.23120390138923e-05,3.70617192081294e-06,1.41986568268039e-06,0.321856330707091,2.26325936747944
"AO_0h_sl6A_sec3a",1,"AO_0h_sl6A_sec3a 1","basolateral_out",2,20,0.362550326450573,5.06617570300725e-06,1.89961609554144e-06,5.84248394194709e-07,0.20731555091149,1.45782082829869
"AO_0h_sl6A_sec3a",1,"AO_0h_sl6A_sec3a 1","basolateral_out",3,50,0.645110422390161,9.01459055261765e-06,4.82973829354064e-06,1.03959285335551e-06,0.12918285798833,0.908400070359135
